"","entrezgene_id","ensembl_gene_id","hgnc_symbol","ensembl_transcript_id"
"217",91445,"ENSG00000138942","RNF185","ENST00000266252"
"218",2120,"ENSG00000139083","ETV6","ENST00000266427"
"219",22822,"ENSG00000139289","PHLDA1","ENST00000266671"
"220",55647,"ENSG00000139832","RAB20","ENST00000267328"
"221",59274,"ENSG00000140406","TLNRD1","ENST00000267984"
"222",91947,"ENSG00000140450","ARRDC4","ENST00000268042"
"223",9960,"ENSG00000140455","USP3","ENST00000268049"
"224",23174,"ENSG00000140948","ZCCHC14","ENST00000268616"
"225",84733,"ENSG00000173894","CBX2","ENST00000269399"
"226",3487,"ENSG00000141753","IGFBP4","ENST00000269593"
"227",55527,"ENSG00000141965","FEM1A","ENST00000269856"
"228",115399,"ENSG00000161328","LRRC56","ENST00000270115"
"229",59283,"ENSG00000142408","CACNG8","ENST00000270458"
"230",51042,"ENSG00000142684","ZNF593","ENST00000270812"
"231",55194,"ENSG00000142694","EVA1B","ENST00000270824"
"232",163859,"ENSG00000143751","SDE2","ENST00000272091"
"233",149111,"ENSG00000143786","CNIH3","ENST00000272133"
"234",7483,"ENSG00000143816","WNT9A","ENST00000272164"
"235",388,"ENSG00000143878","RHOB","ENST00000272233"
"236",11249,"ENSG00000144227","NXPH2","ENST00000272641"
"237",57007,"ENSG00000144476","ACKR3","ENST00000272928"
"238",57574,"ENSG00000144583","MARCHF4","ENST00000273067"
"239",1295,"ENSG00000144810","COL8A1","ENST00000273342"
"240",79966,"ENSG00000145284","SCD5","ENST00000273908"
"241",890,"ENSG00000145386","CCNA2","ENST00000274026"
"242",55016,"ENSG00000145416","MARCHF1","ENST00000274056"
"243",6423,"ENSG00000145423","SFRP2","ENST00000274063"
"244",4651,"ENSG00000145555","MYO10","ENST00000274203"
"245",56929,"ENSG00000145780","FEM1C","ENST00000274457"
"246",91975,"ENSG00000145908","ZNF300","ENST00000274599"
"247",23138,"ENSG00000145911","N4BP3","ENST00000274605"
"248",9509,"ENSG00000087116","ADAMTS2","ENST00000274609"
"249",8817,"ENSG00000156427","FGF18","ENST00000274625"
"250",192286,"ENSG00000146066","HIGD2A","ENST00000274787"
"251",4594,"ENSG00000146085","MMUT","ENST00000274813"
"252",29777,"ENSG00000146109","ABT1","ENST00000274849"
"253",222663,"ENSG00000146197","SCUBE3","ENST00000274938"
"254",135293,"ENSG00000146281","PM20D2","ENST00000275072"
"255",154091,"ENSG00000146411","SLC2A12","ENST00000275230"
"256",6581,"ENSG00000146477","SLC22A3","ENST00000275300"
"257",136853,"ENSG00000146700","SSC4D","ENST00000275560"
"258",83604,"ENSG00000147027","TMEM47","ENST00000275954"
"259",56548,"ENSG00000147119","CHST7","ENST00000276055"
"260",29934,"ENSG00000147164","SNX12","ENST00000276105"
"261",2796,"ENSG00000147437","GNRH1","ENST00000276414"
"262",728577,"ENSG00000154529","CNTNAP3B","ENST00000276974"
"263",91734,"ENSG00000148377","IDI2","ENST00000277517"
"264",9712,"ENSG00000148429","USP6NL","ENST00000277575"
"265",85450,"ENSG00000148841","ITPRIP","ENST00000278071"
"266",23052,"ENSG00000149218","ENDOD1","ENST00000278505"
"267",10398,"ENSG00000101335","MYL9","ENST00000279022"
"268",53942,"ENSG00000149972","CNTN5","ENST00000279463"
"269",130576,"ENSG00000150556","LYPD6B","ENST00000280115"
"270",196383,"ENSG00000150977","RILPL2","ENST00000280571"
"271",3742,"ENSG00000151079","KCNA6","ENST00000280684"
"272",9679,"ENSG00000189319","FAM53B","ENST00000280780"
"273",283464,"ENSG00000151233","GXYLT1","ENST00000280876"
"274",145508,"ENSG00000100629","CEP128","ENST00000281129"
"275",5042,"ENSG00000151846","PABPC3","ENST00000281589"
"276",4249,"ENSG00000152127","MGAT5","ENST00000281923"
"277",79596,"ENSG00000152193","OBI1","ENST00000282003"
"278",56659,"ENSG00000152315","KCNK13","ENST00000282146"
"279",127933,"ENSG00000152332","UHMK1","ENST00000282169"
"280",7518,"ENSG00000152422","XRCC4","ENST00000282268"
