"","ENTREZID","SYMBOL","NR_PROB","ESR_PROB","EAR_PROB","LR_PROB","DNR.3H.P.PRIOR","DOX.3H.P.PRIOR","EPI.3H.P.PRIOR","MTX.3H.P.PRIOR","TRZ.3H.P.PRIOR","DNR.24H.P.PRIOR","DOX.24H.P.PRIOR","EPI.24H.P.PRIOR","MTX.24H.P.PRIOR","TRZ.24H.P.PRIOR","MOTIF"
"8455",10910,"SUGT1",0.998019495716037,1.63073166270759e-06,0.00108720949865104,0.000891664053649689,0.0012687208007214,0.000956127051458428,0.00112548420754869,0.00114160139149092,0.00120805882560829,0.000920237377187853,0.000911058687085447,0.000939385017653377,0.00460060254550074,0.00125983819339507,"NR"
"8456",81624,"DIAPH3",0.978516696918657,7.59315825048543e-06,0.000214746887389591,0.0212609630357031,0.000278590332382128,0.000254906691459735,0.000280127200835894,0.000263125356374767,0.00116315382006211,0.0214296523098941,0.0213060376621405,0.0213002422835106,0.0022116920884414,0.00119263882048509,"NR"
"8457",81550,"TDRD3",0.996870941451444,2.5217999232926e-06,0.00259949662056115,0.000527040128072021,0.00268066855130915,0.00243173775937488,0.00282788051877992,0.00245816561868973,0.00125803563291166,0.000557577450661774,0.000556507604215899,0.000551439804647939,0.00150511942440579,0.00122504557091908,"NR"
"8458",64881,"PCDH20",0.972899955425284,0.000275498750461612,0.0189181937296482,0.0079063520946058,0.0197409956527532,0.0178139525934832,0.0191103304034556,0.0186897461817575,0.00166096816376196,0.00842587033660678,0.00824227315467325,0.00815610434489527,0.00572348947208701,0.00176648981354223,"NR"
"8459",22894,"DIS3",0.992234450711366,2.75476550095146e-05,0.00392934746332321,0.0038086541703019,0.00414389110262143,0.00427156836794884,0.00394909695551166,0.00373002281584918,0.00123991473241682,0.00388461460772278,0.0039180058551047,0.00384830351721195,0.00458860035112966,0.00125756047312975,"NR"
"8460",170622,"COMMD6",0.998823773548477,2.83444163568772e-07,0.000165487545408949,0.00101045546195044,0.00021573831624377,0.000206661523379541,0.000216480644047822,0.000207652284595428,0.0011938510135072,0.00106742195637728,0.00102758666968809,0.00103723079938966,0.00140663855509834,0.00117762016009756,"NR"
"8461",4008,"LMO7",0.99621891346941,2.05442788601367e-06,0.000356991525100321,0.00342204057760368,0.000415363750141074,0.000370519720623988,0.000438653381358737,0.000395826954726028,0.00120547062153372,0.00345928781809035,0.00346776974691655,0.00347601791595002,0.00159842589999412,0.00132331749188276,"NR"
"8462",1203,"CLN5",0.999310400456064,1.40379284200496e-07,0.000167369677387771,0.000522089487263952,0.000217483574461573,0.000215142943607973,0.00021956118837937,0.000202999959419056,0.00114913990520816,0.000547898260558127,0.000543412495130709,0.000543080333406119,0.00827276500106545,0.00118429914416845,"NR"
"8463",23077,"MYCBP2",0.996827470980848,4.25804554476562e-06,0.002015234086152,0.00115303688745518,0.00204478872486139,0.00214893997334987,0.00218964903049529,0.00192049184433259,0.00132786098169958,0.00118180256403164,0.00117422699472533,0.00122502634807744,0.0039320746178181,0.00125488841381444,"NR"
"8464",1910,"EDNRB",0.997454667270121,7.82308971233663e-07,0.000209082402352778,0.00233546801855485,0.000268715601512481,0.000249408707798488,0.000265882682974912,0.000241315411069851,0.00118707543116923,0.00240909440672078,0.00235904314668802,0.00236098059807249,0.00577172441970922,0.00119820303924864,"NR"
