"","x"
"661","NM_004285.4"
"662","XM_006711052.5"
"663","XM_047435002.1"
"664","NM_001282587.2"
"665","XM_017002865.3"
"666","XM_005263540.6"
"667","XM_047435003.1"
"668","XM_047435005.1"
"669","XM_017002866.3"
"670","NM_025106.4"
"671","NM_032315.3"
"672","NM_001010866.4"
"673","XM_011540910.3"
"674","XM_047448441.1"
"675","NM_001130924.3"
"676","XM_006710417.4"
"677","XM_017000549.2"
"678","XM_017000550.2"
"679","XM_017000552.3"
"680","XM_017000551.3"
"681","XM_047422557.1"
"682","XM_047422553.1"
"683","XM_047422551.1"
"684","XM_047422555.1"
"685","XM_047422561.1"
"686","XM_047422589.1"
"687","XM_047422580.1"
"688","NM_005026.5"
"689","XM_006710689.3"
"690","XM_024447663.2"
"691","XM_024447664.2"
"692","XM_047422552.1"
"693","XM_047422554.1"
"694","XM_047422562.1"
"695","XM_047422564.1"
"696","XM_047422565.1"
"697","XM_047422568.1"
"698","XM_047422569.1"
"699","XM_047422571.1"
"700","XM_047422573.1"
"701","XM_047422574.1"
"702","XM_047422576.1"
"703","XM_047422577.1"
"704","XM_047422578.1"
"705","XM_047422550.1"
"706","XM_047422556.1"
"707","XM_047422563.1"
"708","XM_047422572.1"
"709","NM_001350234.2"
"710","XM_006710687.3"
"711","XM_047422566.1"
"712","XM_047422570.1"
"713","XM_047422575.1"
"714","XM_047422558.1"
"715","XM_047422567.1"
"716","NM_001350235.1"
"717","XM_047422560.1"
"718","XM_047422559.1"
"719","NM_001009566.3"
"720","XM_047449470.1"
"721","NM_001302883.1"
"722","NM_014944.4"
"723","XM_047425766.1"
"724","XM_047425770.1"
"725","NM_001012329.2"
"726","NM_020248.3"
"727","XM_047425762.1"
"728","XM_047425763.1"
"729","XM_047425765.1"
"730","NM_001316975.2"
"731","XM_005263506.3"
"732","NM_001316973.2"
"733","NM_001316974.2"
"734","NM_001316976.2"
"735","NM_032368.5"
"736","XM_017002546.2"
"737","XM_017002547.2"
"738","XM_047428077.1"
"739","NM_001297778.1"
"740","NM_001297779.2"
"741","XM_047428082.1"
"742","NM_022787.4"
"743","XM_011541971.2"
"744","XM_017002107.3"
"745","XM_017002108.3"
"746","XM_047428080.1"
"747","XM_047428076.1"
"748","NM_052960.3"
"749","NR_138250.2"
"750","XM_011540489.4"
"751","XM_011540490.3"
"752","NM_001105562.3"
"753","NM_001410744.1"
"754","NM_006048.5"
"755","XM_047428018.1"
"756","XM_011540488.4"
"757","XM_017000035.3"
"758","NM_183416.4"
"759","NM_001365951.3"
"760","NM_015074.3"
"761","NM_001365952.1"
"762","NM_001365953.1"
"763","NM_001304451.2"
"764","NM_001304452.2"
"765","NM_002631.4"
"766","NM_199294.3"
"767","NR_036462.2"
"768","NM_004401.3"
"769","NM_213566.2"
"770","NM_004565.3"
"771","XM_011541580.2"
"772","XM_047422543.1"
"773","XM_047422544.1"
"774","XM_047422545.1"
"775","XM_047422546.1"
"776","XM_011541579.4"
"777","XM_011541577.3"
"778","XM_047422542.1"
"779","XM_011541578.3"
"780","XM_005263479.4"
"781","XM_017001539.3"
"782","NM_001079843.3"
"783","XM_017001540.3"
"784","XM_047423404.1"
"785","NM_017766.5"
"786","XM_047446829.1"
"787","XM_047446831.1"
"788","XM_047446830.1"
"789","NM_001366227.2"
"790","XM_047446828.1"
"791","NM_001170754.2"
"792","NM_007375.4"
"793","XR_007058558.1"
"794","XR_007058559.1"
"795","XR_007058561.1"
"796","XR_007058560.1"
"797","XR_007058562.1"
"798","XR_007058563.1"
"799","XR_007058564.1"
"800","NM_006610.4"
"801","XR_001736931.1"
"802","XM_017000097.1"
"803","XM_047439758.1"
"804","NM_139208.3"
"805","NM_003132.3"
"806","XM_047422663.1"
"807","XM_047422661.1"
"808","NM_001001998.3"
"809","NM_002685.4"
"810","XM_005263475.3"
"811","XM_047416724.1"
"812","XM_017000900.1"
"813","NM_001386500.1"
"814","NM_001386501.1"
"815","NM_004958.4"
"816","XM_047416721.1"
"817","XR_007058581.1"
"818","XM_011541166.3"
"819","NM_013319.3"
"820","XM_047418727.1"
"821","NM_001330349.2"
"822","NM_001330350.2"
"823","NM_012168.6"
"824","NM_001304791.2"
"825","NM_183412.3"
"826","XM_005263537.2"
"827","XM_011542435.2"
"828","XM_047434652.1"
"829","XR_007064919.1"
"830","XM_017002842.3"
"831","XM_017002843.2"
"832","XM_047434647.1"
"833","NM_001014765.2"
"834","NM_001304790.2"
"835","NM_001330355.2"
"836","NM_033182.7"
"837","NM_183413.3"
"838","NR_130909.2"
"839","XM_005263536.5"
"840","XM_006711043.4"
"841","XM_006711045.4"
"842","XM_017002844.3"
"843","XM_047434637.1"
"844","XM_047434659.1"
"845","XR_007064913.1"
"846","XR_007064914.1"
"847","XR_007064917.1"
"848","XR_007064918.1"
"849","XM_047434631.1"
"850","XM_047434635.1"
"851","XM_047434660.1"
"852","NM_018438.6"
"853","XM_005263448.6"
"854","XM_005263451.6"
"855","XM_005263449.6"
"856","XM_011541232.4"
"857","NM_006341.4"
"858","NM_001127325.2"
"859","XM_047430782.1"
"860","NM_001040194.2"
"861","NM_001040195.2"
"862","NM_001040196.2"
"863","NM_001040197.2"
"864","NM_020350.5"
"865","XM_011541799.4"
"866","XM_011541800.4"
"867","XM_011541802.3"
"868","XM_005263463.5"
"869","NM_001330358.2"
"870","NM_001410750.1"
"871","XM_011541496.4"
"872","XM_017001328.3"
"873","XM_047421174.1"
"874","NM_005957.5"
"875","XM_005263462.5"
"876","XM_047421178.1"
"877","XM_047421179.1"
"878","XM_047421180.1"
"879","XM_047421181.1"
"880","NM_001256959.2"
"881","NM_001286.5"
"882","NR_046428.2"
"883","NM_006172.4"
"884","NM_002521.3"
"885","NM_138346.3"
"886","NM_000302.4"
"887","NM_001316320.2"
"888","NM_001127660.2"
"889","NM_014874.4"
"890","XM_005263543.4"
"891","XM_005263545.4"
"892","XM_005263548.4"
"893","XM_047436149.1"
"894","XM_047436154.1"
"895","XM_047436156.1"
"896","NM_021933.4"
"897","XM_005263487.5"
"898","XM_011541895.2"
"899","XM_011541896.2"
"900","NM_015378.4"
"901","NM_018156.4"
"902","XM_017002809.2"
"903","NM_001324370.2"
"904","NM_001319225.2"
"905","XM_047434406.1"
"906","NM_004753.7"
"907","XM_006711036.3"
"908","NM_001013631.3"
"909","NM_001010847.2"
"910","XM_047444690.1"
"911","NM_198389.2"
"912","NM_006474.5"
"913","XM_006710295.2"
"914","XM_024451404.2"
"915","XM_047434471.1"
"916","NM_001006624.2"
"917","NM_001006625.2"
"918","NM_001385053.1"
"919","XM_047429995.1"
"920","XM_047429994.1"
"921","NM_001135610.2"
"922","NM_001393986.1"
"923","NM_015866.6"
"924","NM_012231.5"
"925","XM_047429996.1"
"926","NM_001007257.3"
"927","NM_001393988.1"
"928","XM_047429998.1"
"929","NM_001393987.1"
"930","XM_017002261.3"
"931","XM_047429997.1"
"932","XM_017002260.3"
"933","XM_017000769.3"
"934","XM_017000768.3"
"935","XM_017000770.3"
"936","XM_011541080.4"
"937","XM_005245795.6"
"938","XM_011541074.4"
"939","NM_001370230.2"
"940","NM_015209.3"
"941","XM_017000771.2"
"942","NM_201628.3"
"943","XM_047415845.1"
"944","XM_047415858.1"
"945","NM_001018000.4"
"946","NM_001370229.2"
"947","XM_047415880.1"
"948","XM_011541075.3"
"949","NM_001018001.3"
"950","NM_001370231.2"
"951","XM_011541077.3"
"952","NM_001017999.3"
"953","XM_011541076.3"
"954","XM_047415868.1"
"955","NM_001136216.2"
"956","NM_001136217.2"
"957","XM_017001590.2"
"958","XM_011541676.2"
"959","NM_001136218.2"
"960","NM_001319665.2"
"961","NM_018022.3"
"962","NR_135082.2"
"963","XM_005245919.1"
"964","XM_047430233.1"
"965","NM_024329.6"
"966","XM_005246000.4"
"967","NM_001229.5"
"968","NM_001278054.2"
"969","NR_102732.2"
"970","NR_102733.2"
"971","NM_032996.3"
"972","XM_047432034.1"
"973","XM_005246014.3"
"974","XM_011542273.4"
"975","XR_007064158.1"
"976","NM_001287811.2"
"977","NM_015291.4"
"978","NR_109898.2"
"979","NM_032341.5"
"980","NM_006511.3"
"981","XM_017000757.1"
"982","XM_017000758.1"
"983","NM_001410755.1"
"984","NM_015164.4"
"985","XM_005245791.5"
"986","NM_207348.3"
"987","XM_017001083.2"
"988","XM_006710704.4"
"989","XM_006710705.2"
"990","XM_011541616.3"
"991","XM_017001519.3"
"992","XM_017001520.3"
"993","XM_017001521.3"
"994","XM_005245903.2"
"995","XM_017001526.3"
"996","XM_047423159.1"
"997","XM_047423162.1"
"998","NM_001350151.2"
"999","XM_011541617.3"
"1000","XM_047423104.1"
"1001","XM_047423110.1"
"1002","XM_047423129.1"
"1003","XM_047423148.1"
"1004","XM_005245902.2"
"1005","XM_017001525.2"
"1006","XM_047423112.1"
"1007","XM_047423116.1"
"1008","XM_047423128.1"
"1009","XM_047423133.1"
"1010","XM_047423138.1"
"1011","XM_047423149.1"
"1012","XM_047423151.1"
"1013","XM_005245900.2"
"1014","XM_005245901.2"
"1015","XM_017001523.2"
"1016","XM_017001524.2"
"1017","XM_047423147.1"
"1018","XM_047423172.1"
"1019","XM_047423175.1"
"1020","XM_047423176.1"
"1021","NM_001024216.3"
"1022","NM_017556.4"
"1023","XM_047423123.1"
"1024","XM_047423141.1"
"1025","XM_047423143.1"
"1026","XM_047423150.1"
"1027","XM_047423152.1"
"1028","XM_047423156.1"
"1029","XM_047423158.1"
"1030","NM_001024215.1"
"1031","NM_001089591.2"
"1032","NR_024279.1"
"1033","NM_015001.3"
"1034","XM_047429978.1"
"1035","NM_001242884.2"
"1036","NM_001287603.2"
"1037","NM_001287604.2"
"1038","NM_001324137.2"
"1039","NM_001324138.2"
"1040","NM_003443.3"
"1041","XM_005245986.3"
"1042","XM_011542085.4"
"1043","XM_011542087.4"
"1044","NM_001349683.2"
"1045","NM_001349685.2"
"1046","NM_001349686.2"
"1047","NM_001349687.2"
"1048","NM_001349688.2"
"1049","NM_001349689.2"
"1050","NM_014424.5"
"1051","NM_001349682.2"
"1052","NM_001042704.2"
"1053","NM_001257139.2"
"1054","NM_004070.4"
"1055","NM_000085.5"
"1056","NM_001165945.2"
"1057","NM_182623.3"
"1058","XM_047448259.1"
"1059","XM_047448267.1"
"1060","XM_047448272.1"
"1061","NM_001329090.2"
"1062","NM_004431.5"
"1063","XM_017000537.2"
"1064","NM_153213.5"
"1065","XM_011540706.4"
"1066","XR_946544.2"
"1067","NM_030907.4"
"1068","XM_011542126.4"
"1069","NM_018994.3"
"1070","XM_047422747.1"
"1071","XM_047422750.1"
"1072","XM_047422751.1"
"1073","XM_047422752.1"
"1074","NM_001114600.3"
"1075","NM_001271869.2"
"1076","NR_073500.2"
"1077","NR_073501.2"
"1078","NR_073502.2"
"1079","NR_073503.2"
"1080","XM_047424715.1"
"1081","NM_001145277.2"
"1082","NM_001145278.2"
"1083","NM_018090.5"
"1084","XM_047424713.1"
