"","0bp","2bp","4bp","6bp","8bp","10bp","12bp","14bp","16bp","18bp","20bp","22bp","24bp","26bp","28bp","30bp","32bp","34bp","36bp","38bp","40bp","42bp","44bp","46bp","48bp","50bp"
"trimmed_Ind1_75M24h_S10_R2",22,252,1143,297,979,248,921,257,895,3893,7392,8359,18903,112442,184162,258773,567325,1265291,2160192,2252087,2575453,2452655,2321096,2668004,0,"25265614.0"
"trimmed_Ind1_75M3h_S4_R1",37,207,284,58,339,144,1679,58,137,687,1279,1640,3579,58668,89463,78341,170635,514061,1340832,1604376,1694155,1635111,1689176,2103546,0,"23359331.0"
"trimmed_Ind1_75M3h_S4_R2",37,208,283,58,337,143,1676,58,132,673,1266,1623,3561,58608,89372,78231,170269,513287,1338994,1602300,1695727,1640006,1692846,2105652,0,"23352476.0"
"trimmed_Ind1_75T24h_S11_R1",367,1156,3812,499,1399,1058,7870,329,509,2015,4539,4072,8744,133808,235150,284294,417399,991106,1995389,2213651,3219766,2171524,1903479,2224406,0,"23766591.0"
"trimmed_Ind1_75T24h_S11_R2",358,1146,3808,500,1389,1046,7833,320,507,1956,4445,3998,8657,133145,234159,283112,415704,987259,1988715,2206666,3211920,2167827,1900730,2216372,0,"23811360.0"
"trimmed_Ind1_75T3h_S5_R1",117,314,374,122,421,303,5197,126,213,991,2005,2216,4663,62329,99438,101926,175418,479844,1184350,1343221,1713831,1502909,1459509,1846893,0,"22516794.0"
"trimmed_Ind1_75T3h_S5_R2",116,316,375,121,421,301,5205,127,208,965,1996,2198,4653,62419,99676,102194,175598,480089,1184914,1343413,1722896,1519581,1472282,1855412,0,"22468048.0"
"trimmed_Ind1_75V24h_S12_R1",192,749,925,191,619,376,3921,148,267,1424,3132,2835,6529,127985,190421,207512,388542,992559,2118800,2131224,2801923,2465412,2358800,2727857,0,"27282018.0"
"trimmed_Ind1_75V24h_S12_R2",187,738,925,191,600,378,3899,144,263,1345,3057,2773,6447,127235,189477,206407,386519,988062,2110482,2123067,2793736,2459262,2354693,2723488,0,"27330986.0"
"trimmed_Ind1_75V3h_S6_R1",98,665,622,131,687,418,3521,107,144,532,1024,1349,3087,61255,84064,68469,144413,431682,1107169,1286271,1317031,1292151,1362520,1786566,0,"24730283.0"
"trimmed_Ind1_75V3h_S6_R2",98,664,617,128,685,419,3495,109,142,521,1014,1334,3063,61012,83749,68225,143822,430122,1103454,1282302,1313828,1289737,1360328,1781358,0,"24754033.0"
"trimmed_Ind2_87DA24h_S7_R1",13,50,92,47,258,41,129,81,172,755,1459,1531,3177,29327,58514,80500,175634,420768,824317,923270,1101992,1073594,1095091,1211193,1165996,"37474244.0"
"trimmed_Ind2_87DA24h_S7_R2",13,50,91,45,256,46,126,78,169,732,1415,1506,3122,29178,58328,80126,174972,419672,822539,921066,1099940,1061881,1093011,1207831,1164479,"37501573.0"
"trimmed_Ind2_87DA3h_S1_R1",11,80,219,70,287,90,494,123,324,1495,3241,3183,6603,54991,98755,120251,246721,631493,1294052,1447825,1739934,1643517,1624267,1682718,1429690,"37734597.0"
"trimmed_Ind2_87DA3h_S1_R2",11,81,220,75,285,89,491,108,317,1427,3161,3107,6501,54815,98346,119726,245683,629602,1290334,1443714,1735201,1624485,1619419,1679996,1429840,"37777997.0"
"trimmed_Ind2_87DX24h_S8_R1",6,41,38,21,163,28,138,50,122,568,1069,1273,2627,25626,46627,52780,114094,295455,645524,740160,874000,867519,909075,1059939,1117453,"41208733.0"
